enabled,dataset_id,board,market_segment,inventory_type,geography_code,geography_name,property_type_code,property_type,nc_code,metric_code,metric,frequency,period,status,notes
TRUE,sardis_condo_asp,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_apsf,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_cs,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_adom,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_nl,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_inv,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_apop,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_star,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_asp,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_apsf,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_cs,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_adom,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_nl,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_inv,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_apop,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_star,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,sardis_single_family_asp,CADREB,Resale,Residential,5051,H70 - Sardis,16,Single Family,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_single_family_apsf,CADREB,Resale,Residential,5051,H70 - Sardis,16,Single Family,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,sardis_single_family_cs,CADREB,Resale,Residential,5051,H70 - Sardis,16,Single Family,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,sardis_single_family_adom,CADREB,Resale,Residential,5051,H70 - Sardis,16,Single Family,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,sardis_single_family_nl,CADREB,Resale,Residential,5051,H70 - Sardis,16,Single Family,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,sardis_single_family_inv,CADREB,Resale,Residential,5051,H70 - Sardis,16,Single Family,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,sardis_single_family_apop,CADREB,Resale,Residential,5051,H70 - Sardis,16,Single Family,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_single_family_star,CADREB,Resale,Residential,5051,H70 - Sardis,16,Single Family,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_condo_asp,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_condo_apsf,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_condo_cs,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_condo_adom,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_condo_nl,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_condo_inv,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_condo_apop,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_condo_star,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_townhouse_asp,CADREB,Resale,Residential,5041,F70 - Abbotsford,64,Townhouse,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_townhouse_apsf,CADREB,Resale,Residential,5041,F70 - Abbotsford,64,Townhouse,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_townhouse_cs,CADREB,Resale,Residential,5041,F70 - Abbotsford,64,Townhouse,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_townhouse_adom,CADREB,Resale,Residential,5041,F70 - Abbotsford,64,Townhouse,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_townhouse_nl,CADREB,Resale,Residential,5041,F70 - Abbotsford,64,Townhouse,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_townhouse_inv,CADREB,Resale,Residential,5041,F70 - Abbotsford,64,Townhouse,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_townhouse_apop,CADREB,Resale,Residential,5041,F70 - Abbotsford,64,Townhouse,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_townhouse_star,CADREB,Resale,Residential,5041,F70 - Abbotsford,64,Townhouse,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_single_family_asp,CADREB,Resale,Residential,5041,F70 - Abbotsford,16,Single Family,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_single_family_apsf,CADREB,Resale,Residential,5041,F70 - Abbotsford,16,Single Family,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_single_family_cs,CADREB,Resale,Residential,5041,F70 - Abbotsford,16,Single Family,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_single_family_adom,CADREB,Resale,Residential,5041,F70 - Abbotsford,16,Single Family,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_single_family_nl,CADREB,Resale,Residential,5041,F70 - Abbotsford,16,Single Family,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_single_family_inv,CADREB,Resale,Residential,5041,F70 - Abbotsford,16,Single Family,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_single_family_apop,CADREB,Resale,Residential,5041,F70 - Abbotsford,16,Single Family,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,abbotsford_single_family_star,CADREB,Resale,Residential,5041,F70 - Abbotsford,16,Single Family,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,mission_condo_asp,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,mission_condo_apsf,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,mission_condo_cs,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,mission_condo_adom,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,mission_condo_nl,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,mission_condo_inv,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,mission_condo_apop,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,mission_condo_star,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,mission_townhouse_asp,CADREB,Resale,Residential,5042,F80 - Mission,64,Townhouse,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,mission_townhouse_apsf,CADREB,Resale,Residential,5042,F80 - Mission,64,Townhouse,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,mission_townhouse_cs,CADREB,Resale,Residential,5042,F80 - Mission,64,Townhouse,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,mission_townhouse_adom,CADREB,Resale,Residential,5042,F80 - Mission,64,Townhouse,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,mission_townhouse_nl,CADREB,Resale,Residential,5042,F80 - Mission,64,Townhouse,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,mission_townhouse_inv,CADREB,Resale,Residential,5042,F80 - Mission,64,Townhouse,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,mission_townhouse_apop,CADREB,Resale,Residential,5042,F80 - Mission,64,Townhouse,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,mission_townhouse_star,CADREB,Resale,Residential,5042,F80 - Mission,64,Townhouse,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,mission_single_family_asp,CADREB,Resale,Residential,5042,F80 - Mission,16,Single Family,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,mission_single_family_apsf,CADREB,Resale,Residential,5042,F80 - Mission,16,Single Family,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,mission_single_family_cs,CADREB,Resale,Residential,5042,F80 - Mission,16,Single Family,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,mission_single_family_adom,CADREB,Resale,Residential,5042,F80 - Mission,16,Single Family,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,mission_single_family_nl,CADREB,Resale,Residential,5042,F80 - Mission,16,Single Family,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,mission_single_family_inv,CADREB,Resale,Residential,5042,F80 - Mission,16,Single Family,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,mission_single_family_apop,CADREB,Resale,Residential,5042,F80 - Mission,16,Single Family,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,mission_single_family_star,CADREB,Resale,Residential,5042,F80 - Mission,16,Single Family,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,langley_condo_asp,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,langley_condo_apsf,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,langley_condo_cs,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,langley_condo_adom,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,langley_condo_nl,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,langley_condo_inv,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,langley_condo_apop,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,langley_condo_star,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,langley_townhouse_asp,CADREB,Resale,Residential,5040,F60 - Langley,64,Townhouse,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,langley_townhouse_apsf,CADREB,Resale,Residential,5040,F60 - Langley,64,Townhouse,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,langley_townhouse_cs,CADREB,Resale,Residential,5040,F60 - Langley,64,Townhouse,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,langley_townhouse_adom,CADREB,Resale,Residential,5040,F60 - Langley,64,Townhouse,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,langley_townhouse_nl,CADREB,Resale,Residential,5040,F60 - Langley,64,Townhouse,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,langley_townhouse_inv,CADREB,Resale,Residential,5040,F60 - Langley,64,Townhouse,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,langley_townhouse_apop,CADREB,Resale,Residential,5040,F60 - Langley,64,Townhouse,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,langley_townhouse_star,CADREB,Resale,Residential,5040,F60 - Langley,64,Townhouse,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,langley_single_family_asp,CADREB,Resale,Residential,5040,F60 - Langley,16,Single Family,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,langley_single_family_apsf,CADREB,Resale,Residential,5040,F60 - Langley,16,Single Family,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,langley_single_family_cs,CADREB,Resale,Residential,5040,F60 - Langley,16,Single Family,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,langley_single_family_adom,CADREB,Resale,Residential,5040,F60 - Langley,16,Single Family,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,langley_single_family_nl,CADREB,Resale,Residential,5040,F60 - Langley,16,Single Family,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,langley_single_family_inv,CADREB,Resale,Residential,5040,F60 - Langley,16,Single Family,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,langley_single_family_apop,CADREB,Resale,Residential,5040,F60 - Langley,16,Single Family,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,langley_single_family_star,CADREB,Resale,Residential,5040,F60 - Langley,16,Single Family,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_condo_asp,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_condo_apsf,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_condo_cs,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_condo_adom,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_condo_nl,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_condo_inv,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_condo_apop,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_condo_star,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_townhouse_asp,CADREB,Resale,Residential,5012,V - Vancouver,64,Townhouse,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_townhouse_apsf,CADREB,Resale,Residential,5012,V - Vancouver,64,Townhouse,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_townhouse_cs,CADREB,Resale,Residential,5012,V - Vancouver,64,Townhouse,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_townhouse_adom,CADREB,Resale,Residential,5012,V - Vancouver,64,Townhouse,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_townhouse_nl,CADREB,Resale,Residential,5012,V - Vancouver,64,Townhouse,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_townhouse_inv,CADREB,Resale,Residential,5012,V - Vancouver,64,Townhouse,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_townhouse_apop,CADREB,Resale,Residential,5012,V - Vancouver,64,Townhouse,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_townhouse_star,CADREB,Resale,Residential,5012,V - Vancouver,64,Townhouse,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_single_family_asp,CADREB,Resale,Residential,5012,V - Vancouver,16,Single Family,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_single_family_apsf,CADREB,Resale,Residential,5012,V - Vancouver,16,Single Family,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_single_family_cs,CADREB,Resale,Residential,5012,V - Vancouver,16,Single Family,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_single_family_adom,CADREB,Resale,Residential,5012,V - Vancouver,16,Single Family,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_single_family_nl,CADREB,Resale,Residential,5012,V - Vancouver,16,Single Family,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,vancouver_single_family_inv,CADREB,Resale,Residential,5012,V - Vancouver,16,Single Family,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
